output_x,output_y,output_z,time
-2.57,-1.11,0.35,10327
-2.64,-1.18,0.28,10354
-2.64,-1.11,0.28,10383
-2.64,-1.18,0.35,10411
-2.57,-1.04,0.28,10438
-2.57,-1.04,0.35,10467
-2.71,-1.11,0.35,10494
-2.5,-1.11,0.28,10523
-2.57,-1.11,0.35,10551
-2.64,-1.11,0.35,10579
-2.64,-1.11,0.35,10607
-2.57,-1.11,0.28,10635
-2.64,-1.11,0.35,10663
-2.64,-1.04,0.35,10691
-2.57,-1.04,0.35,10720
-2.57,-1.11,0.28,10747
-2.57,-1.11,0.35,10776
-2.64,-1.18,0.42,10804
-2.64,-1.04,0.35,10831
-2.64,-1.04,0.28,10860
-2.57,-1.11,0.35,10888
-2.5,-1.11,0.35,10916
-2.64,-1.18,0.28,10944
-2.71,-1.11,0.28,10972
-2.57,-1.04,0.35,11000
-2.64,-1.04,0.28,11028
-2.57,-1.04,0.28,11057
-2.57,-1.11,0.28,11084
-2.5,-1.18,0.28,11113
-2.5,-1.11,0.21,11141
-2.57,-1.18,0.42,11168
-2.57,-1.11,0.28,11197
-2.5,-1.11,0.28,11225
-2.64,-1.18,0.28,11253
-2.71,-1.04,0.35,11281
-2.57,-1.11,0.35,11310
-2.57,-1.11,0.42,11337
-2.57,-1.04,0.28,11365
-2.64,-1.11,0.35,11394
-2.57,-1.04,0.28,11421
-2.64,-1.04,0.28,11450
-2.64,-1.04,0.28,11478
-2.57,-1.04,0.28,11505
-2.5,-1.11,0.28,11534
-2.71,-1.11,0.28,11561
-2.71,-1.04,0.28,11590
-2.57,-1.11,0.28,11618
-2.64,-0.97,0.28,11646
-2.64,-1.11,0.28,11674
-2.64,-1.04,0.28,11702
-2.64,-1.11,0.28,11730
-2.57,-1.11,0.28,11758
-2.64,-1.11,0.35,11787
-2.5,-1.04,0.28,11814
-2.57,-1.04,0.28,11843
-2.57,-1.11,0.28,11871
-2.64,-1.04,0.28,11898
-2.57,-0.97,0.28,11927
-2.57,-1.11,0.35,11955
-2.57,-1.11,0.28,11983
-2.5,-1.04,0.28,12011
-2.57,-1.11,0.28,12040
-2.57,-1.18,0.28,12067
-2.64,-1.18,0.35,12095
-2.64,-1.11,0.35,12124
-2.57,-1.04,0.35,12151
-2.57,-1.04,0.28,12180
-2.64,-1.11,0.28,12208
-2.64,-1.04,0.35,12235
-2.64,-1.11,0.35,12264
-2.5,-1.18,0.28,12292
-2.57,-1.11,0.28,12320
-2.71,-1.11,0.28,12348
-2.57,-1.11,0.35,12377
-2.57,-1.11,0.28,12404
-2.57,-1.04,0.42,12432
-2.64,-1.11,0.28,12461
-2.64,-1.11,0.35,12488
-2.57,-1.04,0.35,12517
-2.57,-1.11,0.21,12545
-2.57,-1.04,0.28,12573
-2.64,-1.11,0.28,12601
-2.64,-1.04,0.35,12628
-2.64,-1.18,0.28,12657
-2.71,-1.11,0.28,12685
-2.71,-1.11,0.35,12713
-2.71,-0.97,0.35,12741
-2.64,-1.11,0.28,12769
-2.57,-1.18,0.35,12797
-2.71,-1.11,0.28,12825
-2.64,-1.11,0.28,12854
-2.5,-1.18,0.35,12881
-2.5,-0.97,0.21,12910
-2.57,-1.11,0.35,12938
-2.57,-0.97,0.35,12965
-2.57,-1.11,0.21,12994
-2.71,-0.97,0.28,13022
-2.64,-1.11,0.35,13050
-2.71,-1.11,0.28,13078
-2.64,-1.04,0.28,13107
-2.64,-1.04,0.35,13134
-2.57,-1.11,0.35,13162
-2.64,-1.04,0.28,13191
-2.64,-1.11,0.28,13218
-2.57,-1.11,0.28,13247
-2.57,-1.11,0.28,13275
-2.57,-1.11,0.35,13302
-2.57,-1.11,0.21,13331
-2.57,-1.11,0.35,13359
-2.43,-1.11,0.35,13387
-2.5,-1.04,0.28,13415
-2.57,-1.11,0.35,13444
-2.57,-1.04,0.28,13471
-2.57,-1.11,0.35,13499
-2.57,-1.04,0.28,13528
-2.57,-1.18,0.35,13555
-2.64,-1.18,0.35,13584
-2.57,-1.11,0.35,13612
-2.57,-1.04,0.28,13640
-2.57,-1.11,0.35,13668
-2.57,-1.18,0.35,13696
-2.57,-1.18,0.35,13724
-2.57,-1.11,0.21,13752
-2.71,-1.04,0.35,13780
-2.57,-1.11,0.35,13808
-2.64,-1.11,0.28,13837
-2.57,-1.11,0.42,13864
-2.64,-1.11,0.28,13892
-2.57,-1.11,0.35,13921
-2.64,-1.11,0.35,13948
-2.71,-1.04,0.35,13977
-2.57,-1.04,0.35,14005
-2.57,-1.04,0.21,14032
-2.64,-1.04,0.35,14061
-2.57,-1.11,0.28,14089
-2.64,-1.11,0.35,14117
-2.64,-1.11,0.28,14145
-2.71,-1.18,0.28,14174
-2.57,-1.11,0.35,14201
-2.57,-1.04,0.28,14229
-2.57,-1.11,0.28,14258
-2.57,-1.11,0.28,14285
-2.57,-1.11,0.28,14314
-2.64,-1.18,0.28,14342
-2.64,-1.18,0.28,14370
-2.64,-1.04,0.35,14398
-2.57,-1.11,0.28,14426
-2.64,-1.18,0.28,14454
-2.57,-1.11,0.42,14482
-2.57,-1.11,0.35,14511
-2.64,-1.11,0.35,14538
-2.57,-1.04,0.35,14566
-2.64,-1.04,0.21,14595
-2.57,-1.04,0.28,14622
-2.5,-1.11,0.35,14651
-2.57,-1.11,0.28,14679
-2.64,-1.04,0.28,14707
-2.57,-1.11,0.35,14735
-2.57,-1.04,0.28,14763
-2.57,-1.04,0.21,14791
-2.64,-1.04,0.35,14819
-2.57,-1.04,0.28,14848
-2.5,-1.11,0.28,14875
-2.57,-1.04,0.28,14904
-2.64,-1.04,0.28,14931
-2.57,-1.18,0.28,14959
-2.5,-1.04,0.28,14988
-2.57,-1.04,0.28,15015
-2.57,-1.11,0.35,15044
